T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
380,Italy,2010,Capital expenditure as % of total expenditure in public institutions (%),4.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2010,Public expenditure on education (% of GDP),4.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2015,All staff compensation as % of total expenditure in public institutions (%),76.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2015,Capital expenditure as % of total expenditure in public institutions (%),5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2015,Public expenditure on education (% of GDP),4.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2017,All staff compensation as % of total expenditure in public institutions (%),71.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2017,Capital expenditure as % of total expenditure in public institutions (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
380,Italy,2017,Public expenditure on education (% of GDP),4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2004,All staff compensation as % of total expenditure in public institutions (%),88.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2004,Capital expenditure as % of total expenditure in public institutions (%),4.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2004,Public expenditure on education (% of GDP),3.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2005,Public expenditure on education (% of GDP),4.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2008,All staff compensation as % of total expenditure in public institutions (%),85.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2008,Capital expenditure as % of total expenditure in public institutions (%),9.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2008,Public expenditure on education (% of GDP),6.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2009,All staff compensation as % of total expenditure in public institutions (%),93,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2009,Public expenditure on education (% of GDP),6.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2010,Public expenditure on education (% of GDP),6.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2015,All staff compensation as % of total expenditure in public institutions (%),78.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2015,Capital expenditure as % of total expenditure in public institutions (%),2.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2015,Public expenditure on education (% of GDP),5.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,All staff compensation as % of total expenditure in public institutions (%),77.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Capital expenditure as % of total expenditure in public institutions (%),2.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Basic access to computers by level of education: Primary,33.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Basic access to computers by level of education: Lower secondary,47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2017,Public expenditure on education (% of GDP),5.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,All staff compensation as % of total expenditure in public institutions (%),76.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,Capital expenditure as % of total expenditure in public institutions (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,Basic access to computers by level of education: Primary,85.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,Basic access to computers by level of education: Upper secondary,98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2018,Public expenditure on education (% of GDP),5.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2019,All staff compensation as % of total expenditure in public institutions (%),77.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2019,Capital expenditure as % of total expenditure in public institutions (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
388,Jamaica,2019,Public expenditure on education (% of GDP),5.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2005,All staff compensation as % of total expenditure in public institutions (%),70.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2005,Capital expenditure as % of total expenditure in public institutions (%),9.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2005,Public expenditure on education (% of GDP),3.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2010,All staff compensation as % of total expenditure in public institutions (%),66.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2010,Capital expenditure as % of total expenditure in public institutions (%),13.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2010,Public expenditure on education (% of GDP),3.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2014,All staff compensation as % of total expenditure in public institutions (%),64.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2014,Capital expenditure as % of total expenditure in public institutions (%),13.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2014,Public expenditure on education (% of GDP),3.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2017,All staff compensation as % of total expenditure in public institutions (%),69.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2017,Capital expenditure as % of total expenditure in public institutions (%),11.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
392,Japan,2017,Public expenditure on education (% of GDP),3.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2011,Basic access to computers by level of education: Primary,88.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2011,Basic access to computers by level of education: Lower secondary,96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2011,Basic access to computers by level of education: Upper secondary,98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,All staff compensation as % of total expenditure in public institutions (%),78.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Capital expenditure as % of total expenditure in public institutions (%),10.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Basic access to computers by level of education: Primary,12.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Basic access to computers by level of education: Lower secondary,62,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2018,Public expenditure on education (% of GDP),3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2019,All staff compensation as % of total expenditure in public institutions (%),70.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2019,Capital expenditure as % of total expenditure in public institutions (%),12.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
400,Jordan,2019,Public expenditure on education (% of GDP),3.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2005,All staff compensation as % of total expenditure in public institutions (%),53.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2005,Capital expenditure as % of total expenditure in public institutions (%),6.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2005,Public expenditure on education (% of GDP),2.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2009,All staff compensation as % of total expenditure in public institutions (%),56.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2009,Capital expenditure as % of total expenditure in public institutions (%),9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2009,Public expenditure on education (% of GDP),3.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2010,All staff compensation as % of total expenditure in public institutions (%),57.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2010,Capital expenditure as % of total expenditure in public institutions (%),9.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2015,All staff compensation as % of total expenditure in public institutions (%),59.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2015,Capital expenditure as % of total expenditure in public institutions (%),3.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2015,Public expenditure on education (% of GDP),2.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2018,All staff compensation as % of total expenditure in public institutions (%),68.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2018,Capital expenditure as % of total expenditure in public institutions (%),4.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2018,Public expenditure on education (% of GDP),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2019,All staff compensation as % of total expenditure in public institutions (%),75,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
398,Kazakhstan,2019,Public expenditure on education (% of GDP),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2005,Public expenditure on education (% of GDP),7.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2010,Public expenditure on education (% of GDP),5.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2015,All staff compensation as % of total expenditure in public institutions (%),60.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2015,Capital expenditure as % of total expenditure in public institutions (%),7.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2015,Public expenditure on education (% of GDP),5.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
404,Kenya,2018,Public expenditure on education (% of GDP),5.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
296,Kiribati,2001,Public expenditure on education (% of GDP),12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
414,Kuwait,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
414,Kuwait,2005,All staff compensation as % of total expenditure in public institutions (%),74.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
414,Kuwait,2005,Capital expenditure as % of total expenditure in public institutions (%),7.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
414,Kuwait,2005,Public expenditure on education (% of GDP),4.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
414,Kuwait,2006,Public expenditure on education (% of GDP),3.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2005,All staff compensation as % of total expenditure in public institutions (%),66.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2005,Capital expenditure as % of total expenditure in public institutions (%),5.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2005,Public expenditure on education (% of GDP),4.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2010,All staff compensation as % of total expenditure in public institutions (%),64.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2010,Capital expenditure as % of total expenditure in public institutions (%),6.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2010,Public expenditure on education (% of GDP),5.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2015,All staff compensation as % of total expenditure in public institutions (%),68.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2015,Capital expenditure as % of total expenditure in public institutions (%),15.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2015,Public expenditure on education (% of GDP),6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,All staff compensation as % of total expenditure in public institutions (%),70.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Capital expenditure as % of total expenditure in public institutions (%),14.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Primary,88.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Lower secondary,89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Upper secondary,86,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2017,Public expenditure on education (% of GDP),6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
417,Kyrgyzstan,2018,Basic access to computers by level of education: Upper secondary,87,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
418,Lao People's Dem. Rep.,2005,Public expenditure on education (% of GDP),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
418,Lao People's Dem. Rep.,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
418,Lao People's Dem. Rep.,2010,All staff compensation as % of total expenditure in public institutions (%),65,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
418,Lao People's Dem. Rep.,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
