T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Primary,90,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2004,Public expenditure on education (% of GDP),3.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2005,Public expenditure on education (% of GDP),3.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2009,All staff compensation as % of total expenditure in public institutions (%),86.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
32,Argentina,2009,Capital expenditure as % of total expenditure in public institutions (%),4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
