"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","DV_Edu_prior_index","category"
"274","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201015,2000,2000,1000,3000,0,0,0,3000,1000,0,0,0,1000,2000,1000,0,0,0,0,0,13697,836,42.59,34.38,25,23711,"middle"
"275","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201115,2000,2000,1000,0,0,0,0,1000,1000,0,0,0,1000,1000,1000,0,0,1000,0,0,14728,1116,28.7,26.04,25,23711,"middle"
"276","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201215,3000,1000,0,0,0,0,0,1000,1000,0,0,0,1000,1000,1000,0,0,1000,0,0,22082,1372,21.3,21.88,25,24711,"middle"
"277","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200715,2000,0,2000,2000,0,0,0,4000,1000,2000,0,0,2000,2000,2000,0,0,0,0,0,8369,153,46.3,44.27,62.5,22539,"middle"
"278","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200815,2000,0,0,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,2000,0,0,12032,251,32.41,41.15,75,22539,"middle"
"279","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200915,2000,2000,0,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,2000,0,0,14529,298,37.96,44.27,75,22539,"middle"
"280","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201015,2000,2000,1000,1000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,15348,316,40.74,47.4,75,22539,"middle"
"281","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201115,0,0,1000,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,15793,328,30.56,41.67,75,20539,"low"
"282","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201215,0,2000,2000,2000,0,0,0,3000,0,0,0,0,2000,2000,2000,0,0,3000,0,0,17216,350,43.52,39.58,0,20539,"low"
"283","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20200715,0,2000,1000,0,0,0,1000,3000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,33.33,18.75,0,15975,"low"
