"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_index","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score"
"111","Madagascar",86,12,70,67,149,1,NA,1,1,2,2,1,1,NA,0.408219178082192,0.0328767123287671,0.235616438356164,0.191780821917808,102,14,182,14,312,20201215,1,0,0,2,0,0,2,3,1,1,0,0,2,1,1,0,0,4,0,0,17587,259,37.04,38.54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Maldives",35,70,118,12,200,1,2,3,1,3,2,2,2,NA,0.547945205479452,0.191780821917808,0.0958904109589041,0.323287671232877,165,159,91,159,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Mexico",47,180,8,0,188,1,1,1,1,NA,2,2,NA,2,0.515068493150685,0.493150684931507,0.128767123287671,0.0219178082191781,56,129,8,129,322,20201215,3,3,2,3,1,2,2,1,1,2,0,0,2,1,1,0,0,4,0,1,1267202,115099,71.76,62.5,75,8,56,36,37,35,35,24,18,21,189,63,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Marshall Islands",77,5,148,5,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432876712328767,0.0136986301369863,0.210958904109589,0.405479452054795,180,32,188,32,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","North Macedonia",56,102,0,77,179,1,1,1,2,2,2,2,2,2,0.49041095890411,0.279452054794521,0.153424657534247,0,1,92,45,92,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Mali",74,62,78,21,161,1,2,1,1,2,1,1,1,1,0.441095890410959,0.16986301369863,0.202739726027397,0.213698630136986,112,40,112,40,304,20201215,1,1,1,3,0,0,0,1,0,0,0,0,2,3,2,0,0,3,0,0,5878,205,35.19,36.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Malta",85,68,70,12,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410958904109589,0.186301369863014,0.232876712328767,0.191780821917808,102,16,96,16,230,20201215,1,2,2,4,0,0,0,3,2,1,NA,NA,2,3,2,NA,NA,4,0,2,11303,177,52.78,60.42,62.5,NA,NA,NA,NA,31,30,34,40,36,NA,110,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Myanmar",28,177,3,27,207,NA,NA,NA,NA,NA,NA,1,NA,NA,0.567123287671233,0.484931506849315,0.0767123287671233,0.00821917808219178,29,178,9,178,394,20201215,3,3,2,3,1,2,2,4,1,2,0,0,2,3,2,0,0,4,0,0,110667,2319,75.93,70.83,75,NA,NA,71,76,2,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Montenegro",92,63,80,0,143,1,2,2,2,1,2,2,1,2,0.391780821917808,0.172602739726027,0.252054794520548,0.219178082191781,117,8,110,8,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,26,26,18,NA,70,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Mongolia",82,73,38,42,153,1,2,1,1,NA,3,2,2,1,0.419178082191781,0.2,0.224657534246575,0.104109589041096,73,23,85,23,204,20201215,3,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,3,0,2,918,0,75.46,70.05,75,1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Mozambique",18,126,8,83,217,1,2,2,2,2,2,2,2,2,0.594520547945205,0.345205479452055,0.0493150684931507,0.0219178082191781,56,189,33,189,467,20201215,2,2,2,3,1,0,0,1,0,0,0,0,2,1,2,0,0,3,0,0,17042,144,53.7,43.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Mauritania",40,92,103,0,195,1,1,1,1,NA,2,2,NA,2,0.534246575342466,0.252054794520548,0.10958904109589,0.282191780821918,148,146,58,146,498,20201215,3,2,2,2,0,2,0,2,0,2,0,0,2,1,2,0,0,3,0,0,11431,236,59.26,52.6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Montserrat",25,61,135,14,210,1,2,1,2,2,2,2,2,2,0.575342465753425,0.167123287671233,0.0684931506849315,0.36986301369863,175,179,114,179,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Mauritius",55,33,140,7,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493150684931507,0.0904109589041096,0.150684931506849,0.383561643835616,179,97,160,97,533,20201215,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,1,0,1,524,10,16.67,29.69,50,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Malawi",48,69,79,39,187,1,2,2,2,1,3,2,1,3,0.512328767123288,0.189041095890411,0.131506849315068,0.216438356164384,115,124,94,124,457,20201215,2,2,2,3,0,0,0,2,1,0,0,0,2,2,2,0,0,3,0,0,6080,187,50.93,45.31,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Malaysia",23,99,75,38,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580821917808219,0.271232876712329,0.063013698630137,0.205479452054795,107,181,51,181,520,20201215,3,2,1,4,1,2,1,3,1,2,0,0,2,3,2,0,0,3,0,3,86618,422,67.13,70.57,75,39,25,39,38,28,28,22,32,31,166,85,56,12,3.2,11,3.5,NA,NA,NA,NA,NA
